a bit	một chút, một tí
impose	áp đặt
poverty	nghèo nàn
other	khác
entry	nhập cảnh
fat	mập
spending	chi tiêu
king	nhà vua
evaluate	đánh giá
symbol	ký hiệu
still	vẫn
trade	buôn bán
maker	nhà sản xuất
mood	khí sắc
accomplish	hoàn thành
emphasis	nhấn mạnh
illustrate	Minh họa
boot	khởi động
monitor	giám sát
Asian	Châu Á
entertainment	sự giải trí
bean	hạt đậu
evaluation	đánh giá
creature	sinh vật
commander	chỉ huy
digital	kỹ thuật số
arrangement	sắp xếp
concentrate	tập trung
total	toàn bộ
usual	thường lệ
anger	Sự phẫn nộ
psychological	tâm lý
heavily	nặng nề
peak	cao điểm
approximately	xấp xỉ
increasing	tăng
disorder	rối loạn
missile	tên lửa
equally	bằng nhau
vary	thay đổi
wire	dây điện
round	tròn
distribution	phân phối
transportation	vận chuyển
holy	thánh
ring	nhẫn
twin	đôi
command	chỉ huy
commission	Uỷ ban
interpretation	diễn dịch
breakfast	bữa ăn sáng
stop	dừng lại
strongly	mạnh mẽ
engineering	kỹ thuật
luck	may mắn
so-called	cái gọi là
constant	không thay đổi
race	cuộc đua
clinic	phòng khám bệnh
veteran	cựu chiến binh
smell	mùi
tablespoon	muỗng canh
capable	có khả năng
nervous	lo lắng
tourist	du lịch
light	ánh sáng
toss	quăng
crucial	quan trọng
bury	chôn
pray	cầu nguyện
tomato	cà chua
exception	ngoại lệ
butter	bơ
deficit	thâm hụt
bathroom	phòng tắm
objective	mục tiêu
block	khối
electronic	điện tử
ally	đồng minh
journey	hành trình
reputation	uy tín
mixture	hỗn hợp
surely	chắc chắn
tower	Tháp
smoke	hút thuốc lá
confront	đối đầu
pure	nguyên chất
glance	nháy mắt
dimension	kích thước
toy	đồ chơi
prisoner	Tù nhân
fellow	đồng bào
smooth	trơn tru
nearby	gần đó
peer	ngang nhau
designer	nhà thiết kế
personnel	nhân viên
shape	hình dạng
educator	nhà giáo dục
relative	quan hệ
immigration	nhập cư
belt	thắt lưng
teaspoon	muỗng cà phê
birthday	sinh nhật
implication	hàm ý
perfectly	hoàn hảo
coast	bờ biển
supporter	người ủng hộ
accompany	đi kèm
silver	bạc
teenager	thiếu niên
recognition	sự công nhận
retirement	nghỉ hưu
flag	cờ
recovery	phục hồi
whisper	thì thầm
watch	đồng hồ đeo tay
gentleman	quý ông
corn	Ngô
moon	mặt trăng
inner	bên trong
junior	em
rather	hơn
throat	họng
salary	lương
swing	lung lay
observer	người quan sát
due	đến hạn
straight	thẳng
publication	xuất bản
pretty	đẹp
crop	mùa vụ
dig	đào
strike	đình công
permanent	dài hạn
plant	thực vật
phenomenon	hiện tượng
anxiety	sự lo ngại
unlike	không giống
wet	ướt
literally	nghĩa đen
resist	kháng cự
convention	quy ước
embrace	ôm hôn
supply	cung cấp
assist	hỗ trợ
exhibition	triển lãm
construct	xây dựng
viewer	người xem
pan	chảo
consultant	tư vấn
soon	Sớm
line	hàng
administrator	người quản lý
date	ngày
occasionally	thỉnh thoảng
mayor	thị trưởng
consideration	xem xét
CEO	CEO
secure	đảm bảo
pink	hồng
smoke	hút thuốc lá
estimate	ước tính
buck	buck
historic	mang tính lịch sử
poem	bài thơ
grandmother	bà ngoại
bind	trói buộc
fifth	thứ năm
constantly	liên tục
enterprise	doanh nghiệp
favor	ủng hộ
testing	thử nghiệm
stomach	Dạ dày
apparent	rõ ràng
weigh	cân
install	cài đặt, dựng lên
sensitive	nhạy cảm
suggestion	gợi ý
mail	thư
recipe	công thức
reasonable	hợp lý
preparation	chuẩn bị
wooden	bằng gỗ
elementary	tiểu học
concert	buổi hòa nhạc
aggressive	xâm lược
FALSE	SAI
intention	ý định
channel	kênh
extreme	cực
tube	ống
drawing	vẽ
protein	chất đạm
quit	thoái lui
absence	vắng mặt
roll	cuộn
Latin	Latin
rapidly	nhanh chóng
jail	nhà giam
comment	bình luận
diversity	sự đa dạng
honest	thật thà
Palestinian	Palestine
pace	tốc độ
employment	việc làm
speaker	loa
impression	ấn tượng
essay	tiểu luận
respondent	người trả lời
giant	khổng lồ
cake	bánh ngọt
historian	nhà sử học
negotiate	đàm phán
restore	phục hồi
substantial	đáng kể
pop	nhạc pop
particular	cụ thể
specialist	chuyên gia
origin	gốc
approval	sự chấp thuận
mine	tôi
quietly	lặng lẽ
advise	khuyên nhủ
conventional	thông thường
drop	rơi vãi
count	đếm
depth	chiều sâu
wealth	sự giàu có
disability	khuyết tật
shell	vỏ
general	chung
criticize	chỉ trích
fast	Nhanh
professional	chuyên nghiệp
effectively	có hiệu quả
biological	sinh học
pack	đóng gói
onion	củ hành
deputy	Phó
flat	bằng phẳng
brand	nhãn hiệu
assure	cam đoan
mad	điên
award	giải thưởng
criteria	tiêu chuẩn
dealer	người buôn bán
via	thông qua
alternative	thay thế
utility	tiện ích
precisely	đúng
arise	nảy sinh
armed	trang bị
nevertheless	Tuy nhiên
highway	Xa lộ
clinical	lâm sàng
routine	công Việt Hằng ngày
schedule	kế hoạch
wage	tiền lương
normally	bình thường
phrase	cụm từ
ingredient	thành phần
stake	cổ phần
Muslim	Hồi giáo
dream	mơ tưởng
fiber	chất xơ
activist	nhà hoạt động
Islamic	Hồi giáo
snap	chụp nhanh
terrorism	khủng bố
refugee	người tị nạn
incorporate	kết hợp
hip	hông
ultimate	tối hậu
switch	công tắc điện
corporation	tập đoàn
valuable	quý giá
assumption	giả thiết
gear	Hộp số
graduate	tốt nghiệp
barrier	rào chắn
minor	diễn viên phụ
provision	điều khoản
killer	sát thủ
assign	chỉ định
gang	băng nhóm
developing	phát triển
classic	cổ điển
chemical	hóa chất
wave	làn sóng
label	nhãn
teen	thiếu niên
index	mục lục
vacation	kỳ nghỉ
advocate	biện hộ
draft	bản nháp
extraordinary	bất thường
heaven	thiên đường
rough	thô
yell	hét lên
pregnant	có thai
distant	xa xôi
drama	kịch
satellite	vệ tinh
personally	cá nhân
wonder	ngạc nhiên
clock	đồng hồ
chocolate	sô cô la
Italian	người Ý
Canadian	người Canada
ceiling	Trần nhà
sweep	quét
advertising	quảng cáo
universal	phổ cập
spin	quay
house	nhà ở
button	nút
bell	chuông
rank	cấp
darkness	bóng tối
ahead	phía trước
clothing	quần áo
super	siêu
yield	năng suất
fence	hàng rào
portrait	Chân dung
paint	Sơn
survival	Sự sống còn
roughly	gần
lawsuit	kiện tụng
bottom	đáy
testimony	lời khai
bunch	bó
beat	tiết tấu
wind	gió
found	tìm
burden	gánh nặng
react	phản ứng
chamber	buồng
furniture	đồ nội thất
cooperation	hợp tác
string	chuỗi
ceremony	Lễ
communicate	giao tiếp
taste	nếm thử
cheek	má
lost	mất đi
profile	Hồ sơ
mechanism	cơ chế
disagree	không đồng ý
like	như
penalty	hình phạt
match	trận đấu
ie	nghĩa là
advance	nâng cao
resort	phương sách
destruction	sự phá hủy
bear	chịu
unlikely	không chắc
tissue	mô
constitutional	hiến pháp
pants (PL)	quần (PL)
stranger	lạ
infection	nhiễm trùng
cabinet	buồng
broken	bị hỏng
apple	táo
electric	điện
proceed	tiếp tục
track	theo dõi
bet	cá cược
literary	văn chương
virus	virus
stupid	ngốc nghếch
dispute	tranh chấp
fortune	vận may
strategic	chiến lược
assistant	phụ tá
overcome	vượt qua
remarkable	đáng chú ý
occupy	chiếm
statistics	số liệu thống kê
shopping	mua sắm
cousin	anh chị em họ
encounter	gặp gỡ
wipe	lau
initially	ban đầu
blind	mù quáng
white	trắng
port	Hải cảng
honor	tôn vinh
electricity	điện
genetic	di truyền
adviser	cố vấn
pay	trả
spokesman	người phát ngôn
retain	giữ lại
latter	sau này
incentive	khuyến khích
slave	nô lệ
chemical	hóa chất
translate	dịch
accurate	chính xác
whereas	trong khi
terror	khủng bố
though	Tuy nhiên
expansion	sự bành trướng
elite	ưu tú
Olympic	Olympic
dirt	bẩn
odd	lẻ
rice	cơm
bullet	đạn
tight	chặt chẽ
Bible	Kinh Thánh
chart	đồ thị
solar	hệ mặt trời
decline	từ chối
conservative	thận trọng
process	quá trình
square	Quảng trường
stick	gậy
concentration	sự tập trung
complicated	phức tạp
gently	dịu dàng
champion	quán quân
scenario	kịch bản
telescope	kính viễn vọng
reflection	sự phản chiếu
revolution	Cuộc cách mạng
strip	dải
interpret	thông dịch
friendly	thân thiện
tournament	giải đấu
fiction	viễn tưởng
detect	phát hiện
balance	cân đối
likely	có khả năng
tremendous	to lớn
lifetime	cả đời
recommendation	sự giới thiệu
flow	lưu lượng
senator	thượng nghị sĩ
market	thị trường
hunting	săn bắn
salad	rau xà lách
guarantee	Bảo hành
innocent	vô tội
boundary	ranh giới
pause	tạm ngừng
remote	xa
satisfaction	sự thỏa mãn
journal	tạp chí
bench	Băng ghế
lover	người yêu
raw	thô
awareness	nhận thức
surprising	thật ngạc nhiên
withdraw	thu hồi
general	chung
deck	boong
similarly	tương tự
newly	mới
pole	cây sào
testify	làm chứng
mode	chế độ
dialogue	đối thoại
imply	ngụ ý
naturally	một cách tự nhiên
mutual	lẫn nhau
founder	người sáng lập
top	hàng đầu
advanced	nâng cao
pride	tự hào
dismiss	bỏ qua
aircraft	phi cơ
delivery	chuyển
mainly	chủ yếu
bake	bake
freeze	Đông cứng
platform	nền tảng
finance	tài chính
sink	bồn rửa
attractive	hấp dẫn
respect	sự tôn trọng
diverse	phong phú
relevant	liên quan, thích hợp
ideal	lý tưởng
joy	vui sướng
worth	giá trị
regularly	thường xuyên
working	đang làm việc
singer	ca sĩ
evolve	phát triển
shooting	chụp
partly	từng phần
unknown	không xác định
assistant	phụ tá
offense	xúc phạm
counter	quầy tính tiền
DNA	DNA
smell	mùi
potentially	có khả năng
transfer	chuyển khoản
thirty	ba mươi
justify	biện hộ
protest	phản đối
crash	tai nạn
craft	nghề thủ công
treaty	Hiệp ước
terrorist	khủng bố
insight	cái nhìn sâu sắc
possess	sở hữu
politically	chính trị
tap	gõ
lie	nói dối
extensive	sâu rộng
episode	tập phim
double	gấp đôi
swim	bơi
tire	lốp xe
fault	lỗi
loose	lỏng lẻo
free	miễn phí
shortly	ngay
originally	ban đầu
considerable	đáng kể
prior	trước
intellectual	trí tuệ
mix	pha trộn
assault	tấn công
relax	thư giãn
stair	cầu thang
adventure	cuộc phiêu lưu
external	bên ngoài
proof	bằng chứng
confident	tự tin
headquarters	trụ sở chính
sudden	đột nhiên
dirty	dơ bẩn
violation	sự vi phạm
tongue	lưỡi
license	giấy phép
hold	giữ
shelter	nơi trú ẩn
rub	chà xát
controversy	tranh cãi
entrance	cổng vào
favorite	yêu thích
practice	thực hành
properly	đúng
fade	phai màu
defensive	phòng ngự
tragedy	bi kịch
net	mạng lưới
characterize	đặc trưng
funeral	tang lễ
profession	chuyên nghiệp
alter	thay đổi
spot	nơi
constitute	cấu tạo
establishment	thành lập
squeeze	bóp
imagination	trí tưởng tượng
target	Mục tiêu
mask	mặt nạ
convert	đổi
comprehensive	toàn diện
prominent	nổi bật
presentation	trình bày
regardless	bất kể
easy	dễ dàng
load	tải trọng
stable	ổn định
introduction	Giới thiệu
appeal	kháng cáo
pretend	giả vờ
not	không phải
elderly	người lớn tuổi
representation	đại diện
deer	con nai
split	phân chia
violate	xâm phạm
partnership	hợp tác
pollution	sự ô nhiễm
emission	khí thải
steady	vững chắc
vital	quan trọng
neither	cũng không
fate	số phận
earnings	thu nhập
oven	lò nướng
distinction	phân biệt
segment	phần
nowhere	hư không
poet	bài thơ
mere	chỉ là
exciting	thú vị
variation	biến thể
comfort	thoải mái
radical	cấp tiến, căn nguyên
stress	nhấn mạnh
adapt	phỏng theo
Irish	Người Ailen
honey	mật ong
correspondent	phóng viên
pale	nhợt nhạt
musician	nhạc sĩ
significance	tầm quan trọng
load	tải trọng
round	tròn
vessel	tàu
storage	lưu trữ
flee	chạy trốn
mm-hmm	mm-hmm
leather	da
distribute	phân phát
evolution	sự phát triển
ill	bệnh
tribe	bộ lạc
shelf	kệ
can	có thể
grandfather	ông nội
lawn	bãi cỏ
buyer	người mua
dining	ăn uống
wisdom	sự khôn ngoan
council	hội đồng
vulnerable	dễ bị tổn thương
instance	ví dụ
garlic	tỏi
capability	khả năng
poetry	thơ phú
celebrity	người nổi tiếng
gradually	dần dần
stability	sự ổn định
doubt	nghi ngờ
fantasy	tưởng tượng
scared	sợ hãi
guide	hướng dẫn
plot	âm mưu
framework	khuôn khổ
gesture	cử chỉ
depending	tùy
ongoing	đang diễn ra
psychology	tâm lý học
since	kể từ
counselor	cố vấn
witness	nhân
chapter	chương
fellow	đồng bào
divorce	ly hôn
owe	nợ
pipe	ống
athletic	Khỏe mạnh
slight	nhẹ
math	môn Toán
shade	bóng râm
tail	đuôi
sustain	duy trì
mount	gắn kết
obligation	nghĩa vụ
angle	góc
palm	lòng bàn tay
differ	khác nhau
custom	tập quán
store	cửa hàng
economist	nhà kinh tế học
fifteen	mười lăm
soup	Súp
celebration	lễ kỷ niệm
efficient	hiệu quả
damage	hư hại
composition	thành phần
satisfy	làm vui lòng
pile	Đóng cọc
briefly	ngắn gọn
carbon	carbon
closer	gần hơn
consume	tiêu dùng
scheme	kế hoạch
c rack	bẻ khóa
frequency	tần số
tobacco	thuốc lá
survivor	người sống sót
besides	ngoài ra
in	trong
psychologist	nhà tâm lý học
wealthy	giàu có
galaxy	Thiên hà
given	được
fund	quỹ
ski	trượt tuyết
limitation	giới hạn
OK	được
trace	dấu vết
appointment	cuộc hẹn
preference	sở thích
meter	mét
explosion	nổ
arrest	bắt giữ
publicly	công khai
incredible	đáng kinh ngạc
fighter	đấu sĩ
rapid	nhanh
admission	nhận vào
hunter	thợ săn
educate	giáo dục
painful	đau đớn
friendship	hữu nghị
aide	trợ lý
infant	trẻ sơ sinh
calculate	tính toán
fifty	năm mươi
rid	thoát khỏi
porch	hiên nhà
tendency	khuynh hướng
uniform	đồng phục
formation	sự hình thành
scholarship	học bổng
reservation	đặt phòng
efficiency	hiệu quả
waste	chất thải
qualify	đủ tiêu chuẩn
mall	trung tâm mua sắm
derive	lấy được
scandal	vụ bê bối
PC	PC
helpful	Hữu ích
impress	gây ấn tượng
heel	gót chân
resemble	giống
privacy	riêng tư
fabric	vải
surprise	sự ngạc nhiên
contest	Cuộc thi
proportion	tỉ lệ
guideline	hướng dẫn
rifle	súng trường
maintenance	bảo trì
conviction	lòng tin chắc, sự kết án, phán quyết
trick	lừa
organic	hữu cơ
tent	lều
examination	kiểm tra
publisher	nhà xuất bản
strengthen	củng cố
French	người Pháp
proposed	đề xuất
myth	huyền thoại
sophisticated	tinh vi
cow	bò
etc	vv
standing	đứng
asleep	ngủ
tennis	quần vợt
nerve	dây thần kinh
barrel	thùng
bombing	ném bom
membership	thành viên
ratio	tỉ lệ
menu	thực đơn
purchase	mua, tựa vào, bám vào
controversial	gây tranh cãi
desperate	tuyệt vọng
rate	tỷ lệ
lifestyle	lối sống
humor	hài hước
loud	to tiếng
glove	găng tay
suspect	nghi ngờ
sufficient	đủ
narrative	tường thuật
photographer	nhiếp ảnh gia
helicopter	máy bay trực thăng
Catholic	Công giáo
modest	khiêm tốn
provider	các nhà cung cấp
delay	sự chậm trễ
agricultural	nông nghiệp
explo de	nổ tung
stroke	Cú đánh
scope	phạm vi
punishment	hình phạt
handful	ít
badly	tệ
horizon	đường chân trời
curious	Hiếu kỳ
downtown	trung tâm thành phố
girlfriend	bạn gái
prompt	nhắc nhở
request	yêu cầu
cholesterol	cholesterol
absorb	hấp thụ
adjustment	điều chỉnh
taxpayer	người nộp thuế
eager	hăng hái
principal	hiệu trưởng
detailed	chi tiết
motivation	động lực
assignment	nhiệm vụ
restriction	sự hạn chế
across	băng qua
Palestinian	Palestine
laboratory	phòng thí nghiệm
workshop	xưởng
differently	khác
auto	Tự động
romantic	lãng mạn
cotton	bông
motor	động cơ
sue	kiện
flavor	hương vị
overlook	bỏ qua
float	phao
undergo	trải qua
sequence	trình tự
demonstration	trình diễn
jet	máy bay phản lực
orange	trái cam
consumption	tiêu dùng
assert	khẳng định
blade	lưỡi
temporary	tạm thời
medication	thuốc men
print	in
cabin	cabin
bite	cắn
relative	quan hệ
edition	phiên bản
valley	thung lũng
yours	của bạn
pitch	sân cỏ
pine	cây thông
brilliant	rực rỡ
versus	đấu với
manufacturing	chế tạo
risk	rủi ro
Christian	Christian
complex	phức tạp
absolute	tuyệt đối
chef	đầu bếp
discrimination	kỳ thị
offensive	phản cảm
German	tiếng Đức
suit	bộ đồ
boom	sự bùng nổ
register	ghi danh
appoint	bổ nhiệm
heritage	gia tài
God	thần
terrorist	khủng bố
dominant	có ưu thế
successfully	thành công
shit	dơ bẩn
lemon	Chanh
hungry	đói bụng
sense	giác quan
dry	khô
wander	đi lang thang
submit	đệ trình
economics	Kinh tế học
naked	trần truồng
anticipate	đoán trước
nut	hạt
legacy	di sản
extension	sự mở rộng
shrug	nhún vai
fly	bay
battery	ắc quy
arrival	sự đến
legitimate	hợp pháp
orientation	sự định hướng
inflation	lạm phát
cope	đối phó
flame	ngọn lửa
cluster	cụm
host	chủ nhà
wound	vết thương
dependent	phụ thuộc
shower	vòi hoa sen
institutional	thể chế
depict	miêu tả
operating	điều hành
flesh	xác thịt
garage	gara
operator	nhà điều hành
instructor	giảng viên
collapse	sự sụp đổ
borrow	vay
furthermore	hơn nữa
comedy	phim hài
mortgage	thế chấp
sanction (PL)	sự trừng phạt (PL)
civilian	dân thường
twelve	mười hai
weekly	hàng tuần
habitat	môi trường sống
grain	ngũ cốc
brush	chải
consciousness	ý thức
devote	cống hiến
c rack	bẻ khóa
measurement	phép đo
province	tỉnh
ease	giảm bớt
seize	tịch thu
ethics	đạo đức
nomination	đề cử
permission	sự cho phép
wise	khôn ngoan
actress	nữ diễn viên
summit	hội nghị thượng đỉnh
acid	axit
odds	tỷ lệ
gifted	năng khiếu
frustration	thất vọng
medium	Trung bình
function	chức năng
physically	thể chất
grant	ban cho
distinguish	phân biệt
shore	bờ biển
repeatedly	nhiều lần
lung	phổi
firm	chắc chắn
running	đang chạy
correct	chính xác
distinct	khác biệt
artistic	nghệ thuật
discourse	đàm luận
basket	cái rổ
ah	ah
fighting	trận đánh
impressive	ấn tượng
competitor	đối thủ
ugly	xấu xí
worried	lo lắng
portray	miêu tả
powder	bột
ghost	ma
persuade	truy vấn
moderate	vừa phải
subsequent	sau đó
continued	tiếp tục
cookie	bánh quy
carrier	vận chuyển
cooking	nấu nướng
frequent	Thường xuyên
ban	lệnh cấm
swing	lung lay
orange	trái cam
awful	kinh khủng
admire	ngưỡng mộ
pet	vật nuôi
miracle	phép màu
exceed	quá
rhythm	nhịp
widespread	phổ biến rộng rãi
killing	giết chết
lovely	đáng yêu
sin	tội
charity	từ thiện
script	kịch bản
tactic	chiến thuật
identification	nhận biết
transformation	chuyển đổi
everyday	mỗi ngày
headline	tiêu đề
crash	tai nạn
venture	liên doanh
invasion	cuộc xâm lăng
military	quân đội
nonetheless	dù sao
adequate	đầy đủ
piano	đàn piano
grocery	tạp hóa
intensity	cường độ
exhibit	triển lãm
high	cao
blanket	cái mền
margin	lề
principal	hiệu trưởng
quarterback	tiền vệ
mouse	chuột
rope	dây thừng
concrete	bê tông
prescription	đơn thuốc
African-American	Người Mỹ gốc Phi
chase	đuổi theo
document	tài liệu
brick	gạch
recruit	tuyển dụng
patch	vá
consensus	sự đồng thuận
horror	kinh dị
recording	ghi âm
changing	thay đổi
painter	họa sĩ
colonial	thuộc địa
pie	chiếc bánh
sake	lợi ích
gaze	nhìn chằm chằm
courage	lòng can đảm
pregnancy	mang thai
swear	xin thề
defeat	đánh bại
clue	manh mối
reinforce	củng cố
win	thắng lợi
confusion	sự nhầm lẫn
slice	lát
occupation	nghề nghiệp
dear	kính thưa
coal	than
sacred	Linh thiêng
criminal	phạm tội
formula	công thức
cognitive	nhận thức
collective	tập thể
exact	chính xác
uncle	Chú
square	Quảng trường
captain	đội trưởng
sigh	thở dài
attribute	thuộc tính
dare	dám
okay	đuợc
homeless	Vô gia cư
cool	mát mẻ
gallery	bộ sưu tập
soccer	bóng đá
defendant	bị cáo
tunnel	đường hầm
fitness	sự tập thể dục
lap	vòng
grave	phần mộ
toe	ngón chân
container	thùng đựng hàng
virtue	Đức hạnh
abroad	ở nước ngoài
architect	kiến trúc sư
dramatically	đột ngột
makeup	trang điểm
inquiry	yêu cầu
rose	bông hồng
surprisingly	thật ngạc nhiên
highlight	Điểm nổi bật
decrease	giảm bớt
indication	dấu hiệu
rail	đường sắt
anniversary	ngày kỷ niệm
couch	đi văng
alliance	liên minh
hypothesis	giả thuyết
boyfriend	bạn trai
compose	soạn, biên soạn
peer	ngang nhau
mess	lộn xộn
rank	cấp
legend	huyền thoại
regulate	quy định
adolescent	thanh niên
shine	tỏa sáng
norm	định mức
upset	buồn bã
remark	nhận xét
resign	từ chức
reward	phần thưởng
gentle	dịu dàng
related	liên quan
organ	đàn organ
lightly	nhẹ nhàng
concerning	có liên quan
invent	phát minh
laughter	tiếng cười
fit	Phù hợp
northwest	Tây Bắc
counseling	tư vấn
tight	chặt chẽ
receiver	người nhận
ritual	lễ nghi
insect	côn trùng
interrupt	làm gián đoạn
salmon	cá hồi
favor	ủng hộ
trading	thương mại
concern	mối quan ngại
magic	ma thuật
superior	cấp trên
combat	chống lại
stem	thân cây
surgeon	bác sĩ phẫu thuật
acceptable	chấp nhận được
physics	vật lý
rape	hãm hiếp
counsel	lời khuyên
brush	chải
jeans	Quần jean
hunt	săn bắn
continuous	liên tiếp
log	đăng nhập
echo	echo
pill	Viên thuốc
excited	bị kích thích
sculpture	điêu khắc
compound	hợp chất
integrate	tích hợp
flour	bột mì
bitter	đắng
bare	trần
slope	dốc
rent	thuê
presidency	chức tổng thống
serving	phục vụ
subtle	tế nhị
greatly	rất nhiều
bishop	giám mục
drinking	uống
delay	sự chậm trễ
cry	khóc
acceptance	chấp thuận
collapse	sự sụp đổ
shop	cửa tiệm
pump	máy bơm
candy	Cục kẹo
evil	tà ác
final	sau cùng
finance	tài chính
pleased	vừa lòng
medal	huy chương
beg	ăn xin
sponsor	nhà tài trợ
ethical	đạo đức
secondary	thứ hai
slam	sập
export	xuất khẩu
experimental	thử nghiệm
melt	tan chảy
midnight	nữa đêm
net	mạng lưới
curve	đường cong
integrity	chính trực
entitle	quyền lợi
evident	hiển nhiên
logic	logic
essence	Bản chất
park	công viên
exclude	loại trừ
harsh	khắc nghiệt
closet	tủ quần áo
suburban	ngoại ô
greet	chào hỏi
favor	ủng hộ
interior	Nội địa
corridor	hành lang
murder	giết người
retail	bán lẻ
pitcher	người bình
march	tháng Ba
snake	con rắn
pitch	sân cỏ
excuse	tha
cross	vượt qua
weakness	yếu đuối
pig	con lợn
cold	lạnh
classical	cổ điển
estimated	ước tính
T-shirt	Áo thun
online	Trực tuyến
unemployment	thất nghiệp
civilization	nền văn minh
fold	gập lại
patient	bệnh nhân
pop	nhạc pop
daily	hằng ngày
reverse	đảo ngược
missing	mất tích
correlation	tương quan
humanity	nhân loại
flash	đèn flash
developer	nhà phát triển
reliable	đáng tin cậy
excitement	sự phấn khích
beef	thịt bò
Islam	đạo Hồi
Roman	Roman
stretch	căng ra
architecture	kiến trúc
occasional	thỉnh thoảng
administrative	hành chính
elbow	khuỷu tay
deadly	chết người
Muslim	Hồi giáo
Hispanic	Người Hispanic
allegation	cáo buộc
tip	tiền boa
confuse	nhầm lẫn
airplane	Máy bay
monthly	hàng tháng
duck	con vịt
dose	liều
Korean	Hàn Quốc
plead	biện hộ
initiate	bắt đầu
lecture	bài học
van	van
sixth	thứ sáu
bay	bay
mainstream	dòng chính
suburb	ngoại ô
sandwich	sandwich
unlike	không giống
trunk	Thân cây
rumor	tin đồn
implementation	thực hiện
swallow	nuốt
motivate	động viên
render	render
longtime	thời gian dài
trap	bẩy
restrict	giới hạn
cloth	vải
seemingly	có vẻ
legislative	lập pháp
effectiveness	hiệu quả
enforce	thi hành
lens	ống kính
reach	chạm tới
inspector	thanh tra
lend	cho vay
plain	trơn
fraud	gian lận
companion	đồng hành
contend	đấu tranh
nail	móng tay
array	mảng
strict	nghiêm khắc
assemble	tập hợp
frankly	thẳng thắn
rat	con chuột
burst	nổ
hallway	hành lang
cave	hang
inevitable	chắc chắn xảy ra
southwest	tây nam
monster	quái vật
speed	tốc độ
protest	phản đối
unexpected	bất ngờ
obstacle	trở ngại
facilitate	tạo điều kiện
encounter	gặp gỡ
rip	Yên nghỉ
herb	thảo mộc
overwhelming	áp đảo
integration	hội nhập
crystal	pha lê
recession	suy thoái kinh tế
wish	muốn
top	hàng đầu
written	bằng văn bản
motive	động cơ
label	nhãn
flood	lũ
pen	cây bút
ownership	sở hữu
nightmare	ác mộng
notice	để ý
inspection	kiểm tra
supervisor	người giám sát
consult	tham khảo ý kiến
arena	đấu trường
laugh	cười
diagnosis	chẩn đoán
possession	chiếm hữu
forgive	tha lỗi
warm	ấm áp
consistently	nhất quán
basement	tầng hầm
project	dự án
drift	trôi dạt
drain	ráo nước
last	Cuối cùng
prosecution	truy tố
maximum	tối đa
announcement	thông báo
warrior	chiến binh
prediction	dự đoán
bacteria	vi khuẩn
questionnaire	bảng câu hỏi
mud	bùn
infrastructure	cơ sở hạ tầng
hurry	vội
privilege	đặc quyền
temple	ngôi đền
medium	Trung bình
outdoor	ngoài trời
suck	hút
and/or	và / hoặc
broadcast	phát sóng
re	lại
leap	nhảy vọt
random	ngẫu nhiên
past	quá khứ
wrist	cổ tay
curtain	tấm màn
monitor	giám sát
pond	ao
domain	miền
guilt	tội lỗi
cattle	gia súc
subject	môn học
walking	đi dạo
playoff	playoff
minimum	tối thiểu
fiscal	tài chính
skirt	váy
dump	đổ
hence	vì thế
database	cơ sở dữ liệu
uncomfortable	khó chịu
aim	mục đích
execute	thi hành
limb	chân tay
ideology	hệ tư tưởng
average	Trung bình cộng
welcome	chào mừng
tune	điều chỉnh
continuing	tiếp tục
harm	làm hại
railroad	đường sắt
endure	chịu đựng
radiation	sự bức xạ
horn	sừng
chronic	mãn tính
peaceful	bình yên
innovation	đổi mới
strain	sự căng thẳng, quá tải
guitar	đàn ghi ta
replacement	thay thế
behave	hành xử
administer	quản lý
simultaneously	đồng thời
dancer	vũ công
amendment	sửa đổi
guard	bảo vệ
pad	tập giấy
transmission	truyền tải
await	chờ đợi
retired	nghỉ hưu
trigger	cò súng
spill	tràn
grateful	tri ân
grace	ân sủng
virtual	ảo
response	phản ứng
colony	thuộc địa
adoption	nhận con nuôi
slide	trượt
indigenous	bản địa
closed	đóng
convict	tù nhân
civilian	dân thường
towel	khăn tắm
modify	sửa đổi
particle	hạt
award	giải thưởng
glance	nháy mắt
prize	giải thưởng
landing	đổ bộ
conduct	hạnh kiểm
blue	màu xanh da trời
boost	tăng
bat	gậy
alarm	báo thức
festival	lễ hội
grip	nắm chặt
weird	kỳ dị
undermine	phá hoại
freshman	sinh viên năm nhất
sweat	mồ hôi
outer	bên ngoài
European	Châu Âu
drunk	say
survey	khảo sát
research	nghiên cứu
separation	tách biệt
traditionally	theo truyền thống
stuff	đồ đạc
govern	quản lý
southeast	Đông Nam
intelligent	thông minh
wherever	ở đâu
ballot	phiếu
rhetoric	Hùng biện
convinced	thuyết phục
driving	điều khiển
vitamin	vitamin
enthusiasm	hăng hái
accommodate	chứa
praise	ca ngợi
injure	làm bị thương
wilderness	hoang dã
nearby	gần đó
endless	bất tận
mandate	ủy nhiệm
pause	tạm ngừng
excuse	tha
respectively	tương ứng
uncertainty	tính không chắc chắn
chaos	hỗn loạn
short	ngắn
mechanical	cơ khí
canvas	Tranh sơn dầu
forty	bốn mươi
matter	vấn đề
lobby	sảnh đợi
profound	thâm thúy
format	định dạng
trait	đặc điểm
currency	tiền tệ
turkey	gà tây
reserve	dự trữ
beam	chùm tia
abuse	lạm dụng
astronomer	nhà thiên văn học
